CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,churn_probability,estimated_ltv,treatment_received,retained,uplift_score,uplift_net_ev,uplift_segment
479,33,2,208165.53,1,0,0,50774.81,1,False,False,False,0.4905628132215311,18734.8977,0,0,0.195235156811959,3607.710690315511,Persuadables (TARGET)
504,32,8,206663.75,1,0,0,16281.94,0,False,False,False,0.396009171975631,18599.7375,1,1,0.1797752686888576,3293.7728066047207,Persuadables (TARGET)
648,32,8,157138.99,3,1,0,190994.48,1,True,False,False,0.7907423451867384,14142.5091,0,0,0.2202999157372699,3065.5935630435733,Persuadables (TARGET)
435,44,3,151739.65,1,1,0,167461.5,0,True,False,True,0.6753523641068061,13656.568499999998,1,1,0.2210224188864747,2968.407803558836,Persuadables (TARGET)
481,44,3,163714.52,1,1,0,96123.72,0,True,False,True,0.6949022252874804,14734.306799999998,1,1,0.1981832370932927,2870.0926179497155,Persuadables (TARGET)
415,53,5,167259.44,1,1,1,22357.25,0,False,True,True,0.51644600303937,15053.3496,1,1,0.1926932200916979,2850.6784075900737,Persuadables (TARGET)
706,44,2,185932.18,2,1,0,65413.41,0,True,False,False,0.4008606248920155,16733.896199999996,1,1,0.1721190941288873,2830.22305519083,Persuadables (TARGET)
686,47,5,170935.94,1,1,0,173179.79,1,True,False,False,0.7887000062551454,15384.2346,0,0,0.1856000312083943,2805.3144218772595,Persuadables (TARGET)
647,41,1,85906.65,3,1,0,189159.97,0,True,False,False,0.3924141799688231,7731.598499999999,1,1,0.3608123291280176,2739.656062667688,Persuadables (TARGET)
635,50,7,159453.64,2,0,0,54560.79,1,False,True,True,0.6929802566750451,14350.8276,0,0,0.1774229214904329,2496.165758597539,Persuadables (TARGET)
655,44,6,146498.76,1,1,0,64853.51,1,True,False,False,0.8715949270137422,13184.8884,0,0,0.1839781826719953,2375.7318065650725,Persuadables (TARGET)
564,36,7,206329.65,1,1,1,46632.87,1,False,False,False,0.3579015157286314,18569.6685,0,0,0.1300929483961629,2365.782925904352,Persuadables (TARGET)
585,44,7,163867.86,1,1,1,112333.22,0,True,False,True,0.5074100646942672,14748.1074,1,1,0.1630354728058345,2354.464662950227,Persuadables (TARGET)
593,50,6,171740.69,1,0,0,20893.61,0,False,False,True,0.7124917670045218,15456.6621,1,1,0.1540595472350233,2331.246364890745,Persuadables (TARGET)
584,48,2,213146.2,1,1,0,75161.25,1,False,True,False,0.7352721754135311,19183.158000000003,0,0,0.1210632705293857,2272.37584656195,Persuadables (TARGET)
431,44,2,138843.7,1,1,0,37688.31,1,True,False,False,0.8740331742271655,12495.933,0,0,0.1800836192782373,2200.3128408983616,Persuadables (TARGET)
708,42,8,192390.52,2,1,0,823.36,0,True,False,False,0.2649143984472461,17315.1468,1,1,0.1248227078311658,2111.3235100701468,Persuadables (TARGET)
711,25,5,190066.54,1,0,0,51345.39,1,False,False,False,0.4285807776842512,17105.988599999997,0,0,0.1220808187537469,2038.313093880262,Persuadables (TARGET)
506,59,3,190353.08,1,1,0,78365.75,0,True,False,False,0.5875921059024958,17131.777199999997,1,1,0.1217665498602995,2036.0774026193424,Persuadables (TARGET)
593,29,5,101713.84,3,1,0,134594.99,0,True,False,False,0.6376780260579148,9154.2456,1,1,0.2261671240410747,2020.3894001176627,Persuadables (TARGET)
580,44,9,143391.07,1,0,0,146891.07,1,True,False,True,0.8591392535736122,12905.1963,0,0,0.1564762246153682,1969.3563949442184,Persuadables (TARGET)
634,43,3,212696.32,1,1,0,115268.86,0,True,False,True,0.5777606168014432,19142.6688,1,1,0.105105730370858,1962.004185471436,Persuadables (TARGET)
624,45,5,151855.33,1,1,0,68794.15,0,True,False,False,0.8567306627253168,13666.9797,1,1,0.1467692916711844,1955.8929298534567,Persuadables (TARGET)
678,49,3,204510.94,1,0,1,738.88,1,False,False,False,0.6488153601476239,18405.9846,0,0,0.1085931746346366,1948.7642999902332,Persuadables (TARGET)
690,43,2,166522.78,1,0,0,119644.59,1,True,False,True,0.7642823372326534,14987.0502,0,0,0.1328514536725317,1941.051405333207,Persuadables (TARGET)
673,34,1,127122.79,3,0,1,76703.1,0,True,False,False,0.3747267506972547,11441.0511,1,1,0.1696146229538361,1890.5695685220728,Persuadables (TARGET)
699,44,8,158697.61,1,1,0,107181.22,0,False,False,True,0.667557029677391,14282.7849,0,1,0.1346093611367689,1872.59655064289,Persuadables (TARGET)
519,21,1,151701.45,3,1,1,170138.68,1,True,False,False,0.7085417638369933,13653.1305,0,0,0.1399285489691654,1860.4627397516565,Persuadables (TARGET)
807,31,1,141069.18,3,1,1,194257.11,0,True,False,False,0.5954236442214308,12696.2262,1,1,0.1500267287475731,1854.7732842252317,Persuadables (TARGET)
796,52,9,167194.36,1,1,1,62808.93,1,True,False,False,0.5968891297144989,15047.4924,0,0,0.1249626458854852,1830.37446424573,Persuadables (TARGET)
755,43,6,165048.5,3,1,0,16929.41,1,True,False,True,0.8603778497989732,14854.365,0,0,0.124888745537563,1805.1430106070832,Persuadables (TARGET)
513,49,5,171601.27,1,1,0,126223.84,0,True,False,False,0.7274641242327321,15444.1143,0,1,0.1200020104910184,1803.324766253088,Persuadables (TARGET)
756,44,10,137452.09,1,1,0,189543.9,0,True,False,True,0.803120770646965,12370.6881,1,1,0.1496371703053782,1801.1147620144154,Persuadables (TARGET)
432,42,9,152603.45,1,1,0,110265.24,1,False,False,True,0.6920382633336787,13734.3105,0,0,0.1343398555410392,1795.0652885257782,Persuadables (TARGET)
685,44,2,119657.53,1,1,0,145387.05,1,True,False,False,0.8848334984950675,10769.1777,1,0,0.1705435919795286,1786.6142476238383,Persuadables (TARGET)
584,49,8,172713.44,1,1,0,113860.81,0,False,False,True,0.6805037708605167,15544.209599999998,1,1,0.1180313353625786,1784.7038162438134,Persuadables (TARGET)
696,44,8,161889.79,1,0,0,75562.47,0,False,False,True,0.609452761066692,14570.0811,1,1,0.1256561637399849,1780.8204964064591,Persuadables (TARGET)
559,50,5,162702.35,1,0,0,150548.5,1,False,False,True,0.8096783929731305,14643.2115,0,0,0.1211293198251817,1723.7222490512788,Persuadables (TARGET)
