CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,churn_probability,estimated_ltv,expected_revenue_retained,net_expected_value,naive_target,ds_optimized_target
608,41,1,83807.86,1,0,1,112542.58,0,False,True,False,0.4631389015795599,7542.707399999999,873.3303050430044,823.3303050430044,False,True
502,42,8,159660.8,3,1,0,113931.57,1,False,False,False,0.9211264422224512,14369.471999999998,3309.025154993782,3259.025154993782,True,True
850,43,2,125510.82,1,1,1,79084.1,0,False,True,False,0.3978688748308115,11295.9738,1123.5790964810815,1073.5790964810815,False,True
645,44,8,113755.78,2,1,0,149756.71,1,False,True,True,0.5072898362117916,10238.0202,1298.4108975977535,1248.4108975977535,True,True
376,29,4,115046.74,4,1,0,119346.88,1,True,False,False,0.8818191423394469,10354.2066,2282.63439590436,2232.63439590436,True,True
501,44,4,142051.07,2,0,1,74940.5,0,False,False,True,0.4230035024332983,12784.5963,1351.9822530239467,1301.9822530239467,False,True
684,27,2,134603.88,1,1,1,71725.73,0,False,False,True,0.1930729241673985,12114.3492,584.7382061072461,534.7382061072461,False,True
528,31,6,102016.72,2,0,0,80181.12,0,False,False,True,0.1724895206110274,9181.5048,395.9283403599618,345.9283403599618,False,True
616,45,3,143129.41,2,0,1,64327.26,0,True,False,True,0.5462720676819286,12881.6469,1759.2209718028764,1709.2209718028764,True,True
653,58,1,132602.88,1,1,0,5097.67,1,True,False,True,0.9278492712912476,11934.2592,2768.298425530217,2718.298425530217,True,True
756,36,2,136815.64,1,1,1,170041.95,0,True,False,True,0.4240863706869355,12313.407600000002,1305.4870849682325,1255.4870849682325,False,True
574,43,3,141349.43,1,1,1,100187.43,0,True,False,False,0.696488914679872,12721.4487,2215.0869995546673,2165.0869995546673,True,True
411,29,0,59697.17,2,1,1,53483.21,0,False,False,True,0.1217341026954002,5372.7453,163.5115820266072,113.51158202660719,False,True
533,36,7,85311.7,1,0,1,156731.91,0,False,False,True,0.2338732952323615,7678.052999999999,448.92288901967964,398.92288901967964,False,True
553,41,9,110112.54,2,0,0,81898.81,0,True,False,True,0.4204905852198999,9910.1286,1041.7789436546168,991.7789436546168,False,True
475,45,0,134264.04,1,1,0,27822.99,1,False,False,False,0.7852396713099381,12083.7636,2372.1626393627485,2322.1626393627485,True,True
490,31,3,145260.23,1,0,1,114066.77,0,False,True,True,0.1920102777307678,13073.420700000002,627.5577848745422,577.5577848745422,False,True
804,33,7,76548.6,1,0,1,98453.45,0,False,True,True,0.17474569946939,6889.374,300.9721196340573,250.97211963405732,False,True
582,41,6,70349.48,2,0,1,178074.04,0,True,False,True,0.2000917902647399,6331.4532,316.71795144135405,266.71795144135405,False,True
465,51,8,122522.32,1,0,0,181297.65,1,False,False,False,0.7729242068038154,11027.0088,2130.7605075396727,2080.7605075396727,True,True
556,61,2,117419.35,1,1,1,94153.83,0,False,False,False,0.5702751911864076,10567.7415,1506.6302010802583,1456.6302010802583,True,True
834,49,2,131394.56,1,0,0,194365.76,1,False,False,False,0.7233879065069334,11825.5104,2138.607802907992,2088.607802907992,True,True
660,61,5,155931.11,1,1,1,158338.39,0,False,True,False,0.5459831975396313,14033.799899999998,1915.5547357583393,1865.5547357583393,True,True
776,32,4,109421.13,2,1,1,126517.46,0,True,False,False,0.2802622270597922,9847.9017,689.9987155769784,639.9987155769784,False,True
829,27,9,112045.67,1,1,1,119708.21,1,True,False,False,0.5505294185708065,10084.110299999998,1387.89984506572,1337.89984506572,True,True
637,39,9,137843.8,1,1,1,117622.8,1,True,False,False,0.6491487092057061,12405.942,2013.325308945214,1963.325308945214,True,True
550,38,2,103391.38,1,0,1,90878.13,0,True,False,True,0.4616460428782386,9305.2242,1073.929982506206,1023.929982506206,False,True
776,37,2,103769.22,2,1,0,194099.12,0,True,False,False,0.310669368393299,9339.2298,725.353155811469,675.353155811469,False,True
